.sat,.iode,.iodc,.sva,.svh,.week,.code,.flag,.toe.time,.toe.sec,.toc.time,.toc.sec,.ttr.time,.ttr.sec,.A,.e,.i0,.OMG0,.omg,.M0,.deln,.OMGd,.idot,.crc,.crs,.cuc,.cus,.cic,.cis,.toes,.fit,.f0,.f1,.f2,.tgd.0,.tgd.1,.tgd.2,.tgd.3,.Adot,.ndot
85,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965199,0,29600223.0451,0.0002729186,0.9819634042,0.4724604636,-3.0082888767,-0.4441123691,2.8022595825E-09,-5.33057918288E-09,5.43236913712E-10,114.1875,80.34375,3.79793345928E-06,1.10566616058E-05,-2.60770320892E-08,-2.60770320892E-08,39600,0,0.0039992782,-4.3712589104E-11,0,3.72529029846E-09,4.19095158577E-09,0,0,0,0
78,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965199,0,29600401.0548,1.82650983334E-05,0.959282808,2.5731125071,2.3293328712,-2.3075550505,0.000000003,-5.54380235019E-09,-5.53594488004E-10,103.84375,-77.71875,-3.68617475033E-06,0.000010876,-9.31322574615E-09,1.11758708954E-08,39600,0,-3.45055013895E-06,1.42108547152E-13,0,-5.12227416039E-09,-5.35510480404E-09,0,0,0,0
66,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965199,0,29600495.238,0.0002289411,0.9535660635,2.5752190579,-0.2458355742,1.7563451888,0.000000003,-5.50237205302E-09,-6.4431255249E-10,86.875,-96.25,-4.41260635853E-06,1.18184834719E-05,-2.23517417908E-08,-1.210719347E-07,39600,0,-0.0002823967,-6.56541487842E-12,0,0.000000003,3.25962901115E-09,0,0,0,0
85,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965207,0,29600223.0451,0.0002729186,0.9819634042,0.4724604636,-3.0082888767,-0.4441123691,2.8022595825E-09,-5.33057918288E-09,5.43236913712E-10,114.1875,80.34375,3.79793345928E-06,1.10566616058E-05,-2.60770320892E-08,-2.60770320892E-08,39600,0,0.0039992782,-4.3712589104E-11,0,3.72529029846E-09,4.19095158577E-09,0,0,0,0
78,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965207,0,29600401.0548,1.82650983334E-05,0.959282808,2.5731125071,2.3293328712,-2.3075550505,0.000000003,-5.54380235019E-09,-5.53594488004E-10,103.84375,-77.71875,-3.68617475033E-06,0.000010876,-9.31322574615E-09,1.11758708954E-08,39600,0,-3.45055013895E-06,1.42108547152E-13,0,-5.12227416039E-09,-5.35510480404E-09,0,0,0,0
66,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965207,0,29600495.238,0.0002289411,0.9535660635,2.5752190579,-0.2458355742,1.7563451888,0.000000003,-5.50237205302E-09,-6.4431255249E-10,86.875,-96.25,-4.41260635853E-06,1.18184834719E-05,-2.23517417908E-08,-1.210719347E-07,39600,0,-0.0002823967,-6.56541487842E-12,0,0.000000003,3.25962901115E-09,0,0,0,0
85,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965209,0,29600223.0451,0.0002729186,0.9819634042,0.4724604636,-3.0082888767,-0.4441123691,2.8022595825E-09,-5.33057918288E-09,5.43236913712E-10,114.1875,80.34375,3.79793345928E-06,1.10566616058E-05,-2.60770320892E-08,-2.60770320892E-08,39600,0,0.0039992782,-4.3712589104E-11,0,3.72529029846E-09,4.19095158577E-09,0,0,0,0
78,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965209,0,29600401.0548,1.82650983334E-05,0.959282808,2.5731125071,2.3293328712,-2.3075550505,0.000000003,-5.54380235019E-09,-5.53594488004E-10,103.84375,-77.71875,-3.68617475033E-06,0.000010876,-9.31322574615E-09,1.11758708954E-08,39600,0,-3.45055013895E-06,1.42108547152E-13,0,-5.12227416039E-09,-5.35510480404E-09,0,0,0,0
66,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965209,0,29600495.238,0.0002289411,0.9535660635,2.5752190579,-0.2458355742,1.7563451888,0.000000003,-5.50237205302E-09,-6.4431255249E-10,86.875,-96.25,-4.41260635853E-06,1.18184834719E-05,-2.23517417908E-08,-1.210719347E-07,39600,0,-0.0002823967,-6.56541487842E-12,0,0.000000003,3.25962901115E-09,0,0,0,0
3,82,82,0,0,2075,1,0,1570968000,0,1570968000,0,1570965216,0,26560515.9622,0.0025679235,0.963530613,1.8422603356,0.7740738842,0.7823835149,4.89020369661E-09,-8.39856411962E-09,-4.02873924173E-10,296.28125,-44.375,-2.29477882385E-06,4.31388616562E-06,2.04890966415E-08,2.23517417908E-08,43200,4,-2.1877232939E-05,-4.77484718431E-12,0,1.86264514923E-09,0,0,0,0,0
22,63,63,0,0,2075,1,0,1570968000,0,1570968000,0,1570965216,0,26560392.1452,0.0068768886,0.9281761621,1.7640820915,-1.2776064952,-3.0824691091,5.69666586043E-09,-8.68429030698E-09,-2.8858344923E-10,298.1875,-38.28125,-1.98930501938E-06,3.16649675369E-06,1.17346644402E-07,1.06170773506E-07,43200,4,-0.0007635285,-3.18323145621E-12,0,-1.8160790205E-08,0,0,0,0,0
1,76,76,0,0,2075,1,0,1570968000,0,1570968000,0,1570965216,0,26560041.4169,0.0091216014,0.9772199626,0.8000847491,0.7664673583,1.9323330956,4.39268297288E-09,-0.000000008,5.09306928964E-10,246.21875,66,3.37138772011E-06,7.37607479095E-06,-2.92435288429E-07,-5.77419996262E-08,43200,4,-0.000161082,-1.31876731757E-11,0,5.58793544769E-09,0,0,0,0,0
11,37,37,0,0,2075,1,0,1570968000,0,1570968000,0,1570965216,0,26560992.6351,0.0165765808,0.9110576477,0.340391018,1.9576953933,1.1523089749,5.67166481903E-09,-8.59464371569E-09,4.24660545959E-10,156.40625,38.625,1.84215605259E-06,1.01886689663E-05,5.96046447754E-08,-4.45172190666E-07,43200,4,-0.000479443,1.12549969344E-11,0,-1.210719347E-08,0,0,0,0,0
18,66,66,0,63,2075,1,0,1570968000,0,1570968000,0,1570965216,0,26560295.1049,0.0156773329,0.9558187453,0.741965808,1.440501177,1.6553036066,4.82412951579E-09,-8.15676833357E-09,5.21093134192E-10,224.65625,65.875,3.13855707645E-06,7.79330730438E-06,-9.12696123123E-08,-4.26545739174E-07,43200,4,9.27299261093E-05,2.72848410532E-12,0,-5.58793544769E-09,0,0,0,0,0
14,18,18,0,0,2075,1,0,1570968000,0,1570968000,0,1570965216,0,26561275.4637,0.0107540096,0.9609881609,2.96789765,-1.9327686239,-2.4460924929,0.000000004,-7.53924261115E-09,-1.40362989539E-10,129.59375,-5.34375,-1.9371509552E-07,1.29584223032E-05,7.82310962677E-08,-1.02445483208E-07,43200,4,-5.63561916351E-05,2.04636307899E-12,0,-9.77888703346E-09,0,0,0,0,0
17,6,6,0,0,2075,1,0,1570967984,0,1570967984,0,1570965216,0,26559439.2471,0.0132136428,0.9845861354,-0.1977351774,-1.7001390877,-2.2418202866,3.77158567311E-09,-7.3538777471E-09,5.57166065346E-11,154.5625,-23.5,-1.18277966976E-06,1.20811164379E-05,0.000000177,7.82310962677E-08,43184,4,0.0001433878,7.04858393874E-12,0,-1.11758708954E-08,0,0,0,0,0
19,101,101,0,0,2075,1,0,1570968000,0,1570968000,0,1570965216,0,26560148.8174,0.009307878,0.9825609141,-0.1517786636,1.5149815563,0.5090604723,3.89587656461E-09,-7.76675208783E-09,-2.67868300647E-11,156.0625,-22.40625,-0.000001153,1.23661011457E-05,-1.09896063805E-07,-2.421438694E-08,43200,4,-0.0002543307,5.22959453519E-12,0,-1.53668224812E-08,0,0,0,0,0
32,75,75,0,0,2075,1,0,1570968000,0,1570968000,0,1570965216,0,26560063.7306,0.0032439999,0.9572482635,2.8813006912,-2.5216722537,-1.4103407757,4.22874757288E-09,-7.81246827781E-09,-3.30728061866E-10,134.84375,-21.90625,-1.14366412163E-06,0.000012802,1.39698386192E-07,-1.17346644402E-07,43200,4,0.000089881,1.29602995003E-11,0,4.65661287308E-10,0,0,0,0,0
23,45,45,0,0,2075,1,0,1570968000,0,1570968000,0,1570965216,0,26561158.172,0.0132357983,0.94384187,2.8675249724,-2.2257877036,2.7130692726,4.52375986133E-09,-7.77746681985E-09,-2.72868508926E-10,137.8125,-22.90625,-1.32247805595E-06,1.18967145681E-05,3.16649675369E-08,-1.63912773132E-07,43200,4,-0.000161679,2.16004991671E-12,0,-0.00000002,0,0,0,0,0
85,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965229,0,29600223.0451,0.0002729186,0.9819634042,0.4724604636,-3.0082888767,-0.4441123691,2.8022595825E-09,-5.33057918288E-09,5.43236913712E-10,114.1875,80.34375,3.79793345928E-06,1.10566616058E-05,-2.60770320892E-08,-2.60770320892E-08,39600,0,0.0039992782,-4.3712589104E-11,0,3.72529029846E-09,4.19095158577E-09,0,0,0,0
66,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965229,0,29600495.238,0.0002289411,0.9535660635,2.5752190579,-0.2458355742,1.7563451888,0.000000003,-5.50237205302E-09,-6.4431255249E-10,86.875,-96.25,-4.41260635853E-06,1.18184834719E-05,-2.23517417908E-08,-1.210719347E-07,39600,0,-0.0002823967,-6.56541487842E-12,0,0.000000003,3.25962901115E-09,0,0,0,0
85,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965237,0,29600223.0451,0.0002729186,0.9819634042,0.4724604636,-3.0082888767,-0.4441123691,2.8022595825E-09,-5.33057918288E-09,5.43236913712E-10,114.1875,80.34375,3.79793345928E-06,1.10566616058E-05,-2.60770320892E-08,-2.60770320892E-08,39600,0,0.0039992782,-4.3712589104E-11,0,3.72529029846E-09,4.19095158577E-09,0,0,0,0
66,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965237,0,29600495.238,0.0002289411,0.9535660635,2.5752190579,-0.2458355742,1.7563451888,0.000000003,-5.50237205302E-09,-6.4431255249E-10,86.875,-96.25,-4.41260635853E-06,1.18184834719E-05,-2.23517417908E-08,-1.210719347E-07,39600,0,-0.0002823967,-6.56541487842E-12,0,0.000000003,3.25962901115E-09,0,0,0,0
85,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965239,0,29600223.0451,0.0002729186,0.9819634042,0.4724604636,-3.0082888767,-0.4441123691,2.8022595825E-09,-5.33057918288E-09,5.43236913712E-10,114.1875,80.34375,3.79793345928E-06,1.10566616058E-05,-2.60770320892E-08,-2.60770320892E-08,39600,0,0.0039992782,-4.3712589104E-11,0,3.72529029846E-09,4.19095158577E-09,0,0,0,0
66,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965239,0,29600495.238,0.0002289411,0.9535660635,2.5752190579,-0.2458355742,1.7563451888,0.000000003,-5.50237205302E-09,-6.4431255249E-10,86.875,-96.25,-4.41260635853E-06,1.18184834719E-05,-2.23517417908E-08,-1.210719347E-07,39600,0,-0.0002823967,-6.56541487842E-12,0,0.000000003,3.25962901115E-09,0,0,0,0
3,82,82,0,0,2075,1,0,1570968000,0,1570968000,0,1570965246,0,26560515.9622,0.0025679235,0.963530613,1.8422603356,0.7740738842,0.7823835149,4.89020369661E-09,-8.39856411962E-09,-4.02873924173E-10,296.28125,-44.375,-2.29477882385E-06,4.31388616562E-06,2.04890966415E-08,2.23517417908E-08,43200,4,-2.1877232939E-05,-4.77484718431E-12,0,1.86264514923E-09,0,0,0,0,0
22,63,63,0,0,2075,1,0,1570968000,0,1570968000,0,1570965246,0,26560392.1452,0.0068768886,0.9281761621,1.7640820915,-1.2776064952,-3.0824691091,5.69666586043E-09,-8.68429030698E-09,-2.8858344923E-10,298.1875,-38.28125,-1.98930501938E-06,3.16649675369E-06,1.17346644402E-07,1.06170773506E-07,43200,4,-0.0007635285,-3.18323145621E-12,0,-1.8160790205E-08,0,0,0,0,0
1,76,76,0,0,2075,1,0,1570968000,0,1570968000,0,1570965246,0,26560041.4169,0.0091216014,0.9772199626,0.8000847491,0.7664673583,1.9323330956,4.39268297288E-09,-0.000000008,5.09306928964E-10,246.21875,66,3.37138772011E-06,7.37607479095E-06,-2.92435288429E-07,-5.77419996262E-08,43200,4,-0.000161082,-1.31876731757E-11,0,5.58793544769E-09,0,0,0,0,0
11,37,37,0,0,2075,1,0,1570968000,0,1570968000,0,1570965246,0,26560992.6351,0.0165765808,0.9110576477,0.340391018,1.9576953933,1.1523089749,5.67166481903E-09,-8.59464371569E-09,4.24660545959E-10,156.40625,38.625,1.84215605259E-06,1.01886689663E-05,5.96046447754E-08,-4.45172190666E-07,43200,4,-0.000479443,1.12549969344E-11,0,-1.210719347E-08,0,0,0,0,0
14,18,18,0,0,2075,1,0,1570968000,0,1570968000,0,1570965246,0,26561275.4637,0.0107540096,0.9609881609,2.96789765,-1.9327686239,-2.4460924929,0.000000004,-7.53924261115E-09,-1.40362989539E-10,129.59375,-5.34375,-1.9371509552E-07,1.29584223032E-05,7.82310962677E-08,-1.02445483208E-07,43200,4,-5.63561916351E-05,2.04636307899E-12,0,-9.77888703346E-09,0,0,0,0,0
17,6,6,0,0,2075,1,0,1570967984,0,1570967984,0,1570965246,0,26559439.2471,0.0132136428,0.9845861354,-0.1977351774,-1.7001390877,-2.2418202866,3.77158567311E-09,-7.3538777471E-09,5.57166065346E-11,154.5625,-23.5,-1.18277966976E-06,1.20811164379E-05,0.000000177,7.82310962677E-08,43184,4,0.0001433878,7.04858393874E-12,0,-1.11758708954E-08,0,0,0,0,0
18,66,66,0,63,2075,1,0,1570968000,0,1570968000,0,1570965246,0,26560295.1049,0.0156773329,0.9558187453,0.741965808,1.440501177,1.6553036066,4.82412951579E-09,-8.15676833357E-09,5.21093134192E-10,224.65625,65.875,3.13855707645E-06,7.79330730438E-06,-9.12696123123E-08,-4.26545739174E-07,43200,4,9.27299261093E-05,2.72848410532E-12,0,-5.58793544769E-09,0,0,0,0,0
19,101,101,0,0,2075,1,0,1570968000,0,1570968000,0,1570965246,0,26560148.8174,0.009307878,0.9825609141,-0.1517786636,1.5149815563,0.5090604723,3.89587656461E-09,-7.76675208783E-09,-2.67868300647E-11,156.0625,-22.40625,-0.000001153,1.23661011457E-05,-1.09896063805E-07,-2.421438694E-08,43200,4,-0.0002543307,5.22959453519E-12,0,-1.53668224812E-08,0,0,0,0,0
32,75,75,0,0,2075,1,0,1570968000,0,1570968000,0,1570965246,0,26560063.7306,0.0032439999,0.9572482635,2.8813006912,-2.5216722537,-1.4103407757,4.22874757288E-09,-7.81246827781E-09,-3.30728061866E-10,134.84375,-21.90625,-1.14366412163E-06,0.000012802,1.39698386192E-07,-1.17346644402E-07,43200,4,0.000089881,1.29602995003E-11,0,4.65661287308E-10,0,0,0,0,0
23,45,45,0,0,2075,1,0,1570968000,0,1570968000,0,1570965246,0,26561158.172,0.0132357983,0.94384187,2.8675249724,-2.2257877036,2.7130692726,4.52375986133E-09,-7.77746681985E-09,-2.72868508926E-10,137.8125,-22.90625,-1.32247805595E-06,1.18967145681E-05,3.16649675369E-08,-1.63912773132E-07,43200,4,-0.000161679,2.16004991671E-12,0,-0.00000002,0,0,0,0,0
85,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965259,0,29600223.0451,0.0002729186,0.9819634042,0.4724604636,-3.0082888767,-0.4441123691,2.8022595825E-09,-5.33057918288E-09,5.43236913712E-10,114.1875,80.34375,3.79793345928E-06,1.10566616058E-05,-2.60770320892E-08,-2.60770320892E-08,39600,0,0.0039992782,-4.3712589104E-11,0,3.72529029846E-09,4.19095158577E-09,0,0,0,0
78,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965259,0,29600401.0548,1.82650983334E-05,0.959282808,2.5731125071,2.3293328712,-2.3075550505,0.000000003,-5.54380235019E-09,-5.53594488004E-10,103.84375,-77.71875,-3.68617475033E-06,0.000010876,-9.31322574615E-09,1.11758708954E-08,39600,0,-3.45055013895E-06,1.42108547152E-13,0,-5.12227416039E-09,-5.35510480404E-09,0,0,0,0
66,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965259,0,29600495.238,0.0002289411,0.9535660635,2.5752190579,-0.2458355742,1.7563451888,0.000000003,-5.50237205302E-09,-6.4431255249E-10,86.875,-96.25,-4.41260635853E-06,1.18184834719E-05,-2.23517417908E-08,-1.210719347E-07,39600,0,-0.0002823967,-6.56541487842E-12,0,0.000000003,3.25962901115E-09,0,0,0,0
85,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965267,0,29600223.0451,0.0002729186,0.9819634042,0.4724604636,-3.0082888767,-0.4441123691,2.8022595825E-09,-5.33057918288E-09,5.43236913712E-10,114.1875,80.34375,3.79793345928E-06,1.10566616058E-05,-2.60770320892E-08,-2.60770320892E-08,39600,0,0.0039992782,-4.3712589104E-11,0,3.72529029846E-09,4.19095158577E-09,0,0,0,0
78,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965267,0,29600401.0548,1.82650983334E-05,0.959282808,2.5731125071,2.3293328712,-2.3075550505,0.000000003,-5.54380235019E-09,-5.53594488004E-10,103.84375,-77.71875,-3.68617475033E-06,0.000010876,-9.31322574615E-09,1.11758708954E-08,39600,0,-3.45055013895E-06,1.42108547152E-13,0,-5.12227416039E-09,-5.35510480404E-09,0,0,0,0
66,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965267,0,29600495.238,0.0002289411,0.9535660635,2.5752190579,-0.2458355742,1.7563451888,0.000000003,-5.50237205302E-09,-6.4431255249E-10,86.875,-96.25,-4.41260635853E-06,1.18184834719E-05,-2.23517417908E-08,-1.210719347E-07,39600,0,-0.0002823967,-6.56541487842E-12,0,0.000000003,3.25962901115E-09,0,0,0,0
85,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965269,0,29600223.0451,0.0002729186,0.9819634042,0.4724604636,-3.0082888767,-0.4441123691,2.8022595825E-09,-5.33057918288E-09,5.43236913712E-10,114.1875,80.34375,3.79793345928E-06,1.10566616058E-05,-2.60770320892E-08,-2.60770320892E-08,39600,0,0.0039992782,-4.3712589104E-11,0,3.72529029846E-09,4.19095158577E-09,0,0,0,0
78,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965269,0,29600401.0548,1.82650983334E-05,0.959282808,2.5731125071,2.3293328712,-2.3075550505,0.000000003,-5.54380235019E-09,-5.53594488004E-10,103.84375,-77.71875,-3.68617475033E-06,0.000010876,-9.31322574615E-09,1.11758708954E-08,39600,0,-3.45055013895E-06,1.42108547152E-13,0,-5.12227416039E-09,-5.35510480404E-09,0,0,0,0
66,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965269,0,29600495.238,0.0002289411,0.9535660635,2.5752190579,-0.2458355742,1.7563451888,0.000000003,-5.50237205302E-09,-6.4431255249E-10,86.875,-96.25,-4.41260635853E-06,1.18184834719E-05,-2.23517417908E-08,-1.210719347E-07,39600,0,-0.0002823967,-6.56541487842E-12,0,0.000000003,3.25962901115E-09,0,0,0,0
3,82,82,0,0,2075,1,0,1570968000,0,1570968000,0,1570965276,0,26560515.9622,0.0025679235,0.963530613,1.8422603356,0.7740738842,0.7823835149,4.89020369661E-09,-8.39856411962E-09,-4.02873924173E-10,296.28125,-44.375,-2.29477882385E-06,4.31388616562E-06,2.04890966415E-08,2.23517417908E-08,43200,4,-2.1877232939E-05,-4.77484718431E-12,0,1.86264514923E-09,0,0,0,0,0
22,63,63,0,0,2075,1,0,1570968000,0,1570968000,0,1570965276,0,26560392.1452,0.0068768886,0.9281761621,1.7640820915,-1.2776064952,-3.0824691091,5.69666586043E-09,-8.68429030698E-09,-2.8858344923E-10,298.1875,-38.28125,-1.98930501938E-06,3.16649675369E-06,1.17346644402E-07,1.06170773506E-07,43200,4,-0.0007635285,-3.18323145621E-12,0,-1.8160790205E-08,0,0,0,0,0
1,76,76,0,0,2075,1,0,1570968000,0,1570968000,0,1570965276,0,26560041.4169,0.0091216014,0.9772199626,0.8000847491,0.7664673583,1.9323330956,4.39268297288E-09,-0.000000008,5.09306928964E-10,246.21875,66,3.37138772011E-06,7.37607479095E-06,-2.92435288429E-07,-5.77419996262E-08,43200,4,-0.000161082,-1.31876731757E-11,0,5.58793544769E-09,0,0,0,0,0
11,37,37,0,0,2075,1,0,1570968000,0,1570968000,0,1570965276,0,26560992.6351,0.0165765808,0.9110576477,0.340391018,1.9576953933,1.1523089749,5.67166481903E-09,-8.59464371569E-09,4.24660545959E-10,156.40625,38.625,1.84215605259E-06,1.01886689663E-05,5.96046447754E-08,-4.45172190666E-07,43200,4,-0.000479443,1.12549969344E-11,0,-1.210719347E-08,0,0,0,0,0
14,18,18,0,0,2075,1,0,1570968000,0,1570968000,0,1570965276,0,26561275.4637,0.0107540096,0.9609881609,2.96789765,-1.9327686239,-2.4460924929,0.000000004,-7.53924261115E-09,-1.40362989539E-10,129.59375,-5.34375,-1.9371509552E-07,1.29584223032E-05,7.82310962677E-08,-1.02445483208E-07,43200,4,-5.63561916351E-05,2.04636307899E-12,0,-9.77888703346E-09,0,0,0,0,0
17,6,6,0,0,2075,1,0,1570967984,0,1570967984,0,1570965276,0,26559439.2471,0.0132136428,0.9845861354,-0.1977351774,-1.7001390877,-2.2418202866,3.77158567311E-09,-7.3538777471E-09,5.57166065346E-11,154.5625,-23.5,-1.18277966976E-06,1.20811164379E-05,0.000000177,7.82310962677E-08,43184,4,0.0001433878,7.04858393874E-12,0,-1.11758708954E-08,0,0,0,0,0
18,66,66,0,63,2075,1,0,1570968000,0,1570968000,0,1570965276,0,26560295.1049,0.0156773329,0.9558187453,0.741965808,1.440501177,1.6553036066,4.82412951579E-09,-8.15676833357E-09,5.21093134192E-10,224.65625,65.875,3.13855707645E-06,7.79330730438E-06,-9.12696123123E-08,-4.26545739174E-07,43200,4,9.27299261093E-05,2.72848410532E-12,0,-5.58793544769E-09,0,0,0,0,0
19,101,101,0,0,2075,1,0,1570968000,0,1570968000,0,1570965276,0,26560148.8174,0.009307878,0.9825609141,-0.1517786636,1.5149815563,0.5090604723,3.89587656461E-09,-7.76675208783E-09,-2.67868300647E-11,156.0625,-22.40625,-0.000001153,1.23661011457E-05,-1.09896063805E-07,-2.421438694E-08,43200,4,-0.0002543307,5.22959453519E-12,0,-1.53668224812E-08,0,0,0,0,0
32,75,75,0,0,2075,1,0,1570968000,0,1570968000,0,1570965276,0,26560063.7306,0.0032439999,0.9572482635,2.8813006912,-2.5216722537,-1.4103407757,4.22874757288E-09,-7.81246827781E-09,-3.30728061866E-10,134.84375,-21.90625,-1.14366412163E-06,0.000012802,1.39698386192E-07,-1.17346644402E-07,43200,4,0.000089881,1.29602995003E-11,0,4.65661287308E-10,0,0,0,0,0
23,45,45,0,0,2075,1,0,1570968000,0,1570968000,0,1570965276,0,26561158.172,0.0132357983,0.94384187,2.8675249724,-2.2257877036,2.7130692726,4.52375986133E-09,-7.77746681985E-09,-2.72868508926E-10,137.8125,-22.90625,-1.32247805595E-06,1.18967145681E-05,3.16649675369E-08,-1.63912773132E-07,43200,4,-0.000161679,2.16004991671E-12,0,-0.00000002,0,0,0,0,0
85,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965289,0,29600223.0451,0.0002729186,0.9819634042,0.4724604636,-3.0082888767,-0.4441123691,2.8022595825E-09,-5.33057918288E-09,5.43236913712E-10,114.1875,80.34375,3.79793345928E-06,1.10566616058E-05,-2.60770320892E-08,-2.60770320892E-08,39600,0,0.0039992782,-4.3712589104E-11,0,3.72529029846E-09,4.19095158577E-09,0,0,0,0
78,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965289,0,29600401.0548,1.82650983334E-05,0.959282808,2.5731125071,2.3293328712,-2.3075550505,0.000000003,-5.54380235019E-09,-5.53594488004E-10,103.84375,-77.71875,-3.68617475033E-06,0.000010876,-9.31322574615E-09,1.11758708954E-08,39600,0,-3.45055013895E-06,1.42108547152E-13,0,-5.12227416039E-09,-5.35510480404E-09,0,0,0,0
66,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965289,0,29600495.238,0.0002289411,0.9535660635,2.5752190579,-0.2458355742,1.7563451888,0.000000003,-5.50237205302E-09,-6.4431255249E-10,86.875,-96.25,-4.41260635853E-06,1.18184834719E-05,-2.23517417908E-08,-1.210719347E-07,39600,0,-0.0002823967,-6.56541487842E-12,0,0.000000003,3.25962901115E-09,0,0,0,0
85,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965297,0,29600223.0451,0.0002729186,0.9819634042,0.4724604636,-3.0082888767,-0.4441123691,2.8022595825E-09,-5.33057918288E-09,5.43236913712E-10,114.1875,80.34375,3.79793345928E-06,1.10566616058E-05,-2.60770320892E-08,-2.60770320892E-08,39600,0,0.0039992782,-4.3712589104E-11,0,3.72529029846E-09,4.19095158577E-09,0,0,0,0
78,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965297,0,29600401.0548,1.82650983334E-05,0.959282808,2.5731125071,2.3293328712,-2.3075550505,0.000000003,-5.54380235019E-09,-5.53594488004E-10,103.84375,-77.71875,-3.68617475033E-06,0.000010876,-9.31322574615E-09,1.11758708954E-08,39600,0,-3.45055013895E-06,1.42108547152E-13,0,-5.12227416039E-09,-5.35510480404E-09,0,0,0,0
66,66,66,107,0,2075,1,0,1570964400,0,1570964400,0,1570965297,0,29600495.238,0.0002289411,0.9535660635,2.5752190579,-0.2458355742,1.7563451888,0.000000003,-5.50237205302E-09,-6.4431255249E-10,86.875,-96.25,-4.41260635853E-06,1.18184834719E-05,-2.23517417908E-08,-1.210719347E-07,39600,0,-0.0002823967,-6.56541487842E-12,0,0.000000003,3.25962901115E-09,0,0,0,0
